date,exchange_rate
2011-03-11,0.93
2011-03-14,0.9
2011-03-17,0.87
2011-03-20,0.79
2011-03-23,0.86
2011-03-26,0.9
2011-03-30,0.8
2011-04-02,0.8
2011-04-05,0.77
2011-04-08,0.78
2011-04-11,0.76
2011-04-14,0.99
2011-04-17,1.09
2011-04-20,1.19
2011-04-23,1.38
2011-04-26,1.71
2011-04-29,2.66
2011-05-02,3.95
2011-05-05,3.56
2011-05-08,3.75
2011-05-11,5.41
2011-05-14,8.56
2011-05-17,8.47
2011-05-20,7.28
2011-05-23,6.81
2011-05-26,7.95
2011-05-29,8.68
2011-06-01,9.47
2011-06-04,15.05
2011-06-07,19.19
2011-06-10,32.34
2011-06-13,24.87
2011-06-16,19.99
2011-06-19,17.6
2011-06-22,15.39
2011-06-25,16.95
2011-06-28,17.89
2011-07-01,17.38
2011-07-04,15.74
2011-07-07,16.44
2011-07-10,15.16
2011-07-13,14.52
2011-07-16,14.25
2011-07-19,13.93
2011-07-22,13.94
2011-07-25,14.16
2011-07-28,14.1
2011-07-31,14.06
2011-08-03,13.37
2011-08-06,11.42
2011-08-09,9.66
2011-08-12,10.35
2011-08-15,11.4
2011-08-18,11.39
2011-08-21,11.75
2011-08-24,11.47
2011-08-27,10.01
2011-08-30,9.4
2011-09-02,8.46
2011-09-05,8.56
2011-09-08,7.53
2011-09-11,6.49
2011-09-14,6.19
2011-09-17,5.18
2011-09-20,5.89
2011-09-23,5.8
2011-09-26,5.49
2011-09-29,4.95
2011-10-02,5.27
2011-10-05,5.03
2011-10-08,4.79
2011-10-11,4.23
2011-10-14,4.37
2011-10-17,3.87
2011-10-20,2.59
2011-10-23,3.31
2011-10-26,3
2011-10-29,3.39
2011-10-31,3.38
2011-11-03,3.28
2011-11-06,3.04
2011-11-09,3.09
2011-11-12,3.11
2011-11-15,2.67
2011-11-18,2.37
2011-11-21,2.3
2011-11-24,2.48
2011-11-27,2.51
2011-11-30,3
2011-12-03,3.1
2011-12-06,3.06
2011-12-09,3.04
2011-12-12,3.33
2011-12-15,3.2
2011-12-18,3.36
2011-12-21,4.08
2011-12-24,4.06
2011-12-27,4.09
2011-12-30,4.47
2012-01-02,5.45
2012-01-05,6.6
2012-01-08,7.2
2012-01-11,7.1
2012-01-14,6.81
2012-01-17,6.97
2012-01-20,6.57
2012-01-23,6.47
2012-01-26,6.08
2012-01-29,5.72
2012-02-01,5.77
2012-02-04,5.99
2012-02-07,5.74
2012-02-10,5.94
2012-02-13,5.69
2012-02-16,4.74
2012-02-19,4.38
2012-02-22,4.63
2012-02-25,5.05
2012-02-28,4.98
2012-03-02,4.94
2012-03-05,5.04
2012-03-08,4.99
2012-03-11,4.98
2012-03-14,5.45
2012-03-17,5.4
2012-03-20,4.95
2012-03-23,4.81
2012-03-27,4.74
2012-03-30,4.85
2012-04-02,4.97
2012-04-05,4.96
2012-04-08,4.94
2012-04-11,4.9
2012-04-14,4.97
2012-04-17,4.99
2012-04-20,5.19
2012-04-23,5.3
2012-04-26,5.16
2012-04-29,5.09
2012-05-02,5.04
2012-05-05,5.15
2012-05-08,5.1
2012-05-11,5.1
2012-05-14,5.01
2012-05-17,5.1
2012-05-20,5.14
2012-05-23,5.13
2012-05-26,5.15
2012-05-29,5.16
2012-06-01,5.21
2012-06-04,5.27
2012-06-07,5.48
2012-06-10,5.68
2012-06-13,5.76
2012-06-16,6.27
2012-06-19,6.48
2013-02-28,33.36
2013-03-03,34.25
2013-03-06,42
2013-03-09,46.93
2013-03-12,44.32
2013-03-15,46.9
2013-03-18,52.12
2013-03-21,70.25
2013-03-24,71.93
2013-03-27,88.8
2013-03-30,92.5
2013-04-03,117.34
2013-04-06,142.1
2013-04-09,186.96
2013-04-12,124.9
2013-04-15,100
2013-04-18,93.9
2013-04-21,127.5
2013-04-24,142.5
2013-04-27,137
2013-04-30,144.54
2013-05-03,103.3
2013-05-06,115.98
2013-05-09,113.35
2013-05-12,115.68
2013-05-15,112
2013-05-18,123.32
2013-05-21,122.02
2013-05-24,126.7
2013-05-27,133.5
2013-05-30,132.3
2013-06-02,129.3
2013-06-05,121.42
2013-06-08,111.5
2013-06-11,106.1
2013-06-14,103.9
2013-06-17,99.9
2013-06-20,107.68
2013-06-23,108.35
2013-06-26,103.89
2013-06-29,94.65
2013-07-02,87
2013-07-05,80.04
2013-07-08,75
2013-07-11,87.9
2013-07-14,98
2013-07-17,97.05
2013-07-20,92
2013-07-23,91.99
2013-07-26,97
2013-07-29,98.7
2013-08-01,106.2
2013-08-04,104.95
2013-08-07,106.56
2013-08-10,102.8
2013-08-13,106.64
2013-08-16,98.08
2013-08-19,99.3
2013-08-22,110.43
2013-08-25,109.04
2013-08-28,117.72
2013-08-31,124.84
2013-09-03,130.09
2013-09-06,122.63
2013-09-09,118.18
2013-09-12,126.54
2013-09-15,124.05
2013-09-18,139.15
2013-09-21,123.04
2013-09-24,122.65
2013-09-27,124.65
2013-09-30,127.01
2013-10-03,103.85
2013-10-06,121.2
2013-10-09,124.12
2013-10-12,127.41
2013-10-15,135.17
2013-10-18,143.94
2013-10-21,186.12
2013-10-24,203.7
2013-10-27,179.56
2013-10-29,216
2013-11-01,203
2013-11-04,229.95
2013-11-07,291.02
2013-11-10,328
2013-11-13,393
2013-11-16,437.24
2013-11-19,547
2013-11-22,795
2013-11-25,814.56
2013-11-28,1014.1
2013-12-01,955.01
2013-12-04,1136.9
2013-12-07,705.91
2013-12-10,978.76
2013-12-13,885
2013-12-16,690
2013-12-19,685.3
2013-12-22,614.11
2013-12-25,679.02
2013-12-28,715
2013-12-31,732
2014-01-03,807.39
2014-01-06,915.69
2014-01-09,826.28
2014-01-12,844.04
2014-01-15,841.83
2014-01-18,811.2
2014-01-21,824.78
2014-01-24,780.02
2014-01-27,747.57
2014-01-30,800
2014-02-02,814.34
2014-02-05,781
2014-02-08,680.8
2014-02-11,675.1
2014-02-14,670.29
2014-02-17,629.96
2014-02-20,563
2014-02-23,611.05
2014-02-26,585.21
2014-03-01,567.48
2014-03-04,673.28
2014-03-07,631.99
2014-03-10,629.33
2014-03-13,641.01
2014-03-16,634.99
2014-03-19,611.2
2014-03-22,563.01
2014-03-25,585.79
2014-03-28,499.6
2014-04-01,457.49
2014-04-04,448.72
2014-04-07,458
2014-04-10,441.93
2014-04-13,423.37
2014-04-16,523
2014-04-19,482.11
2014-04-22,498.38
2014-04-25,502.15
2014-04-28,438.8
2014-05-01,452.03
2014-05-04,440
2014-05-07,428.01
2014-05-10,449
2014-05-13,442.45
2014-05-16,446.53
2014-05-19,446.89
2014-05-22,493.97
2014-05-25,527.91
2014-05-28,572.7
2014-05-31,621.3
2014-06-03,662
2014-06-06,661.48
2014-06-09,657.11
2014-06-12,624.97
2014-06-15,572.28
2014-06-18,608
2014-06-21,593.48
2014-06-24,588.25
2014-06-27,577.34
2014-06-30,599.99
2014-07-03,650.49
2014-07-06,631
2014-07-09,624.97
2014-07-12,634
2014-07-15,621.21
2014-07-18,625.8
2014-07-21,627
2014-07-24,620.43
2014-07-27,595.9
2014-07-30,585.5
2014-08-02,595.76
2014-08-05,588.5
2014-08-08,585.02
2014-08-11,590.74
2014-08-14,549.98
2014-08-17,523.88
2014-08-20,490
2014-08-23,515.69
2014-08-26,501.55
2014-08-29,506.61
2014-09-01,478.87
2014-09-04,474.5
2014-09-07,479.59
2014-09-10,473.35
2014-09-13,474.62
2014-09-16,470.83
2014-09-19,425.56
2014-09-22,401.15
2014-09-25,423.68
2014-09-28,400.39
2014-10-01,390.18
2014-10-04,358.9
2014-10-07,327.61
2014-10-10,363.61
2014-10-13,380.8
2014-10-16,394.84
2014-10-19,391
2014-10-22,385.89
2014-10-25,358.49
2014-10-27,350.9
2014-10-30,345.3
2014-11-02,324.36
2014-11-05,338.63
2014-11-08,346.94
2014-11-11,369.41
2014-11-14,399.11
2014-11-17,388.87
2014-11-20,356.47
2014-11-23,367.12
2014-11-26,366.86
2014-11-29,375.59
2014-12-02,379.62
2014-12-05,376
2014-12-08,362.99
2014-12-11,348.97
2014-12-14,357.8
2014-12-17,321.34
2014-12-20,331.52
2014-12-23,336.95
2014-12-26,329.94
2014-12-29,313.4
2015-01-01,314.81
2015-01-04,263.17
2015-01-07,297.99
2015-01-10,275.97
2015-01-13,222
2015-01-16,208.13
2015-01-19,216.01
2015-01-22,233.51
2015-01-25,254.32
2015-01-28,236.2
2015-01-31,219.25
2015-02-03,227.53
2015-02-06,222.36
2015-02-09,219.93
2015-02-12,222.33
2015-02-15,234.18
2015-02-18,237.44
2015-02-21,245.41
2015-02-24,239.94
2015-02-27,252.11
2015-03-02,275.87
2015-03-05,273.11
2015-03-08,275
2015-03-11,296.56
2015-03-14,282.2
2015-03-17,284.48
2015-03-20,262.1
2015-03-23,265.99
2015-03-26,249.23
2015-03-30,242.34
2015-04-02,246.49
2015-04-05,253.67
2015-04-08,253.9
2015-04-11,236
2015-04-14,223.01
2015-04-17,227.5
2015-04-20,222.61
2015-04-23,233.59
2015-04-26,226.29
2015-04-29,225.2
2015-05-02,230.97
2015-05-05,238.25
2015-05-08,237.16
2015-05-11,239.11
2015-05-14,235.97
2015-05-17,236.63
2015-05-20,231.4
2015-05-23,238.8
2015-05-26,235.59
2015-05-29,236.44
2015-06-01,228.34
2015-06-04,225.4
2015-06-07,224.99
2015-06-10,228.88
2015-06-13,229.6
2015-06-16,236
2015-06-19,248.26
2015-06-22,243.55
2015-06-25,240.2
2015-06-28,251.21
2015-07-01,262.43
2015-07-04,256.12
2015-07-07,268.53
2015-07-10,269
2015-07-13,310.55
2015-07-16,285.66
2015-07-19,276.74
2015-07-22,276.76
2015-07-25,289
2015-07-28,293.93
2015-07-31,288.45
2015-08-03,282.26
2015-08-06,281
2015-08-09,262.22
2015-08-12,270.98
2015-08-15,265.93
2015-08-18,256.66
2015-08-21,235.31
2015-08-24,228.14
2015-08-27,225.04
2015-08-30,229.63
2015-09-02,227.97
2015-09-05,230.73
2015-09-08,240.47
2015-09-11,238.81
2015-09-14,230
2015-09-17,228.33
2015-09-20,230.25
2015-09-23,230.42
2015-09-26,235.22
2015-09-29,239.14
2015-10-02,238.03
2015-10-05,238.4
2015-10-08,243.01
2015-10-11,245.72
2015-10-14,249.98
2015-10-17,262.26
2015-10-20,263.59
2015-10-23,274.35
2015-10-25,282.8
2015-10-28,304.79
2015-10-31,310.18
2015-11-03,404.5
2015-11-06,373.69
2015-11-09,380.62
2015-11-12,340.81
2015-11-15,318.97
2015-11-18,333.66
2015-11-21,326.31
2015-11-24,319.64
2015-11-27,358
2015-11-30,377.27
2015-12-03,361.47
2015-12-06,387.3
2015-12-09,416.49
2015-12-12,436.2
2015-12-15,463.98
2015-12-18,463
2015-12-21,438.35
2015-12-24,456
2015-12-27,422.42
2015-12-30,428.23
2016-01-02,432.76
2016-01-05,432.43
2016-01-08,452.64
2016-01-11,447.98
2016-01-14,429.55
2016-01-17,380.16
2016-01-20,420.35
2016-01-23,385.09
2016-01-26,391.66
2016-01-29,378.18
2016-02-01,371.99
2016-02-04,388
2016-02-07,375
2016-02-10,379.14
2016-02-13,389.88
2016-02-16,407
2016-02-19,419.98
2016-02-22,436.76
2016-02-25,423.46
2016-02-28,431.89
2016-03-02,422.5
2016-03-05,399.17
2016-03-08,412.15
2016-03-11,420.11
2016-03-14,414.99
2016-03-17,418.49
2016-03-20,411.81
2016-03-23,417.96
2016-03-26,416.96
2016-03-30,415.83
2016-04-02,416.31
2016-04-05,419.71
2016-04-08,419.95
2016-04-11,420.75
2016-04-14,423.87
2016-04-17,430.58
2016-04-20,435.95
2016-04-23,447.7
2016-04-26,462.5
2016-04-29,449.98
2016-05-02,453
2016-05-05,446.84
2016-05-08,459.02
2016-05-11,450.78
2016-05-14,455.82
2016-05-17,454
2016-05-20,436.05
2016-05-23,438.47
2016-05-26,448.7
2016-05-29,526.64
2016-06-01,531.97
2016-06-04,567.88
2016-06-07,583.72
2016-06-10,574.32
2016-06-13,665.85
2016-06-16,693.88
2016-06-19,751.96
2016-06-22,664.46
2016-06-25,665
2016-06-28,651.85
2016-07-01,667.95
2016-07-04,656.97
2016-07-07,673.76
2016-07-10,647.41
2016-07-13,664.5
2016-07-16,663.19
2016-07-19,673.46
2016-07-22,664
2016-07-25,661.48
2016-07-28,655.37
2016-07-31,654.68
2016-08-03,530.74
2016-08-06,572.72
2016-08-09,591.69
2016-08-12,586.01
2016-08-15,567.34
2016-08-18,570.92
2016-08-21,577.52
2016-08-24,581.98
2016-08-27,577.77
2016-08-30,571.5
2016-09-02,571
2016-09-05,603.95
